project_name,project_sector
Rehabilitation/Upgrade of Existing Transmission/Distribution Substations and Distribution Lines (Brownfield Projects) - Phase 1 of the Presidential Power Initiative (PPI),Power
Construction and Expansion of New Transmission Lines (Line Project's) - Phase 1 of the Presidential Power Initiative (PPI),Power
"200 Bed Conference Hostel in Swali, Yenagoa LGA",Infrastructure
Gold Exploration (EL 26357) at Boluwaduro LGA,Mining
Gold Exploration (EL 29977) at Oriade and Atakunmosa East LGAs,Mining
Gold Exploration (EL 26355) at Isin LGA,Mining
Gold Exploration (EL 26358) at Irepodun and Isin LGAs,Mining
"Tin, Columbite, Mica Exploration (EL 29719) at Akwanga LGA",Mining
"Tin, Mica and Columbite Exploration (EL 29720) at Akwanga LGA",Mining
"Tin, Mica and Columbite Exploration (29718EL) in Zanko Kataf LGA",Mining
"Tin, Mica and Columbite Exploration(29723EL) in Kachia LGA",Mining
"Tin, Mica and Columbite Exploration(29721EL) in Jema'a LGA",Mining
"Tin, Mica and Columbite Exploration(29716EL) in Jema'a LGA",Mining
"Tin, Mica and Columbite Exploration(29717EL) in Kokona LGA",Mining
"Tin, Mica and Columbite Exploration(29722EL) in Kokona LGA",Mining
"Bauchi Gwana Cement Factory at Diji Village, Gwana District, Alkaleri LGA",Manufacturing
"Urban Water Supply Rehabilitation Project in Nassarawa, Fagge and Dala LGAs",Infrastructure
2Africa Subsea Fibre Optic Telecommunications Cable System at Ibeno LGA,Telecommunications
Gold Ore Exploration and Mining  at Bonu/Buru Village in Gurara LGA,Mining
"Floating Liquefied Natural Gas (FLNG) at OML 104, Yoho Field ",Oil & Gas
"Development of Multi-Purpose Terminal at Snake Island, Tincan Island Port Complex Kirikiri, Amuwo Odofin LGA",Infrastructure
Cowrie Shores Island Project in Lekki LGA,Mining
Five Cowrie Creek Development Project in lekki LGA,Infrastructure
Regional Off-Grid Electricity Access Project (ROGEAP),Others
"Gold Exploration (29978EL) in Oriade,Ilesha East and Atakunmosa East LGAs Osun State and Efon LGA Ekiti State.",Mining
"Gold Exploration (EL 26356) located across Moba, Irepodun and Ila/Ifedayo LGAs ",Mining
Disinfection and Decontamination Exercise for Vessels Arriving All Sea-Ports in Nigeria,Others
Powering and Empowering Seven (7) Communities,Power
Powering and Empowering Three (3) Communities at Barute LGA,Power
Hybrid Solar Mini-Grids in Fourteen (14) Communities across Six (6) LGAs,Renewable Energy
Tires and Tubes Recycling in Ikpoba-Okha LGA,Manufacturing
"Generation of Electricity Using Fuel-less Generator at Plot 3KD/D/MF/15 Cadastral Zone, Along Kuduru Road, Bwari, Abuja",Power
"Development of a Liquified Petroleum Gas Terminal in Okoroama, Okrika LGA",Oil & Gas
Sugarcane-Fuel Ethanol Project,Manufacturing
Sugarcane-Fuel Ethanol Project,Manufacturing
"Manufacturing of Ceramics Frit and Glaze, Ikpoba-Okha LGA",Manufacturing
Construction of Flyovers at Mgbuogba-Ozuoba-Ada George Road and Ikwerre Rumuokwuta-Rumuola Junction in Port-Harcourt,Infrastructure
Construction of Azikwe and Iloabuchi Roads in Port Harcourt,Infrastructure
Cassava Plantation and Fuel Ethanol Processing Plant,Manufacturing
ATC Nigeria Phase 19 BTS (10 BTS in 5 States and the FCT),Telecommunications
Construction of Ikot Ofok Road through Ukana Iko Akpabin to Urua Ett and Ten (10) Other Projects (2022) in Akwa Ibom State,Infrastructure
"Construction of Road from Okparaki - Ikodi - Ofusegha Community in Ogbia LGA, Bayelsa State (2022)",Infrastructure
Four (4) Infrastructural Projects of the Ministry of Niger Delta Affairs in Cross River State (2022),Infrastructure
Two (2) Infrastructural Projects of the Ministry of Niger Delta Affairs in Abia State (2022),Infrastructure
"Construction of Aye Street Off Youth Road, Amagba Community, Oredo LGA and five (5) other Projects (2022) in Edo State",Infrastructure
Construction of Umuokira Okuku Avu Bypass Road in Owerri West LGA and Three (3) Other Projects (2022) in Imo State,Infrastructure
Five (5) Infrastructural Projects of the Ministry of Niger Delta Affairs in Ondo State (2022),Infrastructure
"Construction of Drainage/Channelization of Iyiagor-Edengbu-Umuonowu Canal, Abbi, Delta State (2022)",Infrastructure
"Synthetic Gypsum Plant at Lafarge Sagamu Plant, Sagamu LGA",Infrastructure
"Tin, Columbite and Mica Exploration (EL 29715) at Riyom  LGA ",Mining
"100 Kwp Solar Mini-Grid Power Project at Zindiri, Wurledde and Yasabo Sara Communities in Giade LGA",Power
"Exploration of Lithium, Tourmaline and Beryl in iwajowa LGA",Mining
A 12inch X 71KM Natural Gas Distribution Piepline within the Greater Lagos Area,Oil & Gas
Wapp 330kv Double Circuit Median Interconnection Project,Power
Feldspar Quarry in Ajaokuta  LGA,Mining
 Sesame Processing Plant(Midscale Agri-Commodity Enhancement project),Infrastructure
 Agricultural Products Storage and Packaging Plant (Midscale Agri-Commodity Enhancement Project) in Kanta Oyewolu Village Obafemi owode LGA,Infrastructure
"Tourmaline Gemstone Ore Exploration and Mining(37828EL) in Ido-Ose, Ijero and Irepodun LGAs",Mining
"Climate Smart In-Pond Raceway System(IPRS) Technology Aquaculture Demonstration Farm and Fisheries Livelihoods Improvement program in  Omu-Ijebu/Eriwe, Odogbolu LGA",Agriculture
"100MWP On-Grid Solar PV Plant at Agangaro, Gwiwa LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant at Damsawa Forest Reserve, Mai Adua LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant at Binjin Muza, Yabo LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant at Mile Six Jalingo, Jalingo LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant at Iru Eru, Ganmo, Asa LGA",Renewable Energy
100MWP On-Grid Solar PV Plant at Kalgo LGA,Renewable Energy
"100MWP On-Grid Solar PV Plant at Kwanar Dangora, Kiru LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant Along Western By Pass Maraban Jos, Igabi  LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant in Lokoja, Lokoja  LGA",Renewable Energy
"100MWP On-Grid Solar PV Plant at Maitunbi By Pass, Bosso  LGA",Renewable Energy
"Cashew Nut Processing Project at Ajiyolo Akabe, Dekina LGA",Agriculture
"BTS sites in Lokogoma, Kuchibedna and Kafe Garden Estate, Abuja",Telecommunications
"Construction of Modern Market in Asese Community, Obafemi-Owode LGA",Infrastructure
Gold Exploration Project (36066 EL) at Edu/Ifelodun LGA ,Mining
"Construction of Drilling Fluid and Mud Plant at Elelenwo, Obio/Akpor LGA",Oil & Gas
"Beverage Confectionery Production at Iboku-Aro, Mowe, Obafemi-Owode LGA",Manufacturing
Cassava Fuel Ethanol Project at Odo Alape Kabba/Bunu LGA,Manufacturing
Granite (25600 QL) Quarry Project at Irewole LGA,Mining
"Tin, Tantalite and Gemstone Exploration and Mining at Biase LGA",Mining
"40kwp NXT Grid Nigeria Solar Mini-Grid in offere Community, Kbba-Bunu LGA",Renewable Energy
"  Solar Hybrid Mini- Gird Site in Kokona, Karu and Nasarawa LGAs",Renewable Energy
Upgrade of Solar Photovoltaic (PV) System in Ibadan,Renewable Energy
Development of Solar Mini-Grid Projects in Cross River State (14 sites),Renewable Energy
Development of Solar Mini-Grid Projects in  Rivers State (2 sites),Renewable Energy
Development of Solar Mini-Grid Projects in  Bayelsa State (8 sites),Renewable Energy
26km Navigational Channel Dredging Works for the Downstream Gas and Petrochemical Project at Eastern-Obolo LGA,Infrastructure
Airstrip Development at Uromi community in Esan North-East LGA,Infrastructure
"Ajaokuta Gas Park at Idaku, Ajaokuta LGA",Oil & Gas
Solar Mini-Grid in Ten(10) Communities across Seven (7) LGAs,Renewable Energy
"Gemstone, Metallic and Non Metallic Minerals Mining Project at Gbedu in Itasa, Iwajowa LGA",Mining
"Expansion of Power Generation Plant at Ajao Estate, Oshodi-Isolo LGA",Power
Construction of 100 Tonnes/Day Pet Bottles Recycling Factory in Ikorodu LGA  ,Waste Management
"Construction of 18""X 60km Natural Gas Pipeline from Ogere, Ogun State to Ibadan Tollgate, Oyo State",Oil & Gas
Lead and Zinc Exploration (26777EL) in Wase LGA,Mining
"Cassava Farm and Ethanol Production Factory at Awowo Village, Ewekoro LGA",Manufacturing
Mini Grid Project  at Olorunpodo and Itebu-Manuwa in Ijebu East and Ogun Waterside LGAs,Renewable Energy
"Oando Primary Affected Host Communities In Odukpani, Akpabuyo and Calabar Municipal LGAs",Infrastructure
Technical Committee on Export Credit Agency Backed Agriculture Infrastructure Programme,Others
Coal Mining Project at Igalamela-Odolu LGA in Kogi State and Nsukka LGA Enugu State,Mining
"Galvanizing and Sandblasting Shop at Abam-Ama, Okirika LGA ",Infrastructure
"Construction of factory for the manufacturing of P.P woven sacks at Lafarge compound, Ewekoro LGA",Infrastructure
"Mini-Grid Project at Evbouwa, Iguamokhua and Ajakorama Communities in Orionmwon and Ovia South-West LGAs",Renewable Energy
"Refurbishing, installation and Generation of 71MW Gas turbines at Kolo Creeks, Imiringi Community in Ogbia LGA",Power
ATC Nigeria Phase 20 BTS (222 BTS in 11 States and the FCT),Telecommunications
Sand Dredging and Mining (25230 QL) at Ojo LGA,Mining
Product filling and Repackaging Process Plant at Oshodi-Isolo LGA ,Manufacturing
Funtua Integrated Textile and Garment Park at Faskari LGA,Manufacturing
"Medical Tourism Park at Lekki Free Trade Zone, Lekki, Epe LGA",Infrastructure
"300MW Gas Fired Power Plant with Combined Heat Recovery System and Post-Combustion Carbon Dioxide (CO2) Capture at APPL Industrial Polis, Odukpani Qua, Odukpani LGA",Power
"Limestone and Iron Ore (25551 SSML) at Alelu Village, Jega LGA ",Mining
Coal Exploration and Mining (38655 EL) at Ankpa LGA,Mining
"LPG Bottling Plant Project at Osborne Foreshore Phase II, Ikoyi, Eti-Osa LGA",Infrastructure
"2700 Barrels Per Day o f88 Octane Gasoline (R+M)/2 Production and 570 Barrels per day of Liquified Petroleum Gas using Modular Gasification plant at APPL Industrial polls, New Netim, Odukpani LGA",Oil & Gas
Urban Water Sector Reform / Port-Harcourt Water Supply and Sanitation Project at Port-Harcourt and Obio Akpor LGAs,Infrastructure
Research on Digital Environmental and Social Impact Assessment (ESIA),Others
"NNPC Sugar-Cane Fuel Ethanol Project at Kubau, Ikara and Makarfi LGAs",Renewable Energy
"5MWp and PV-Diesel Hybrid Project in Baze University at Karonmajigi, Abuja Municipal Area Council, Abuja",Power
Rural Telephony Base Transceiver Stations (Phase 2) 26 Sites in 13 States,Telecommunications
"100,000 MT/year of Methanol and 160,000 MT/ year of Ammonium Bi-carbonate Production Plant at Omotosho, Okitipupa LGA",Manufacturing
Gold Ore Exploration and Mining (36027 EL) at Gurara LGA,Mining
Limestone Exploration and Mining (37569 ML) at Yagba West / Ifelodun LGAs,Mining
5 Television Base Stations in 4 States and the FCT,Telecommunications
"Dredging of Federal Coastal Fisheries Terminal in Borikiri, Port-Harcourt LGA",Infrastructure
"Construction of 25MW Biofuel Power Plant in Kwal Village, Kanke LGA",Power
"Construction of an Ultra Modern Tar k Farm at Ijegun, Satellite Town, Amuwo Odofin LGA",Oil & Gas
Quarry at Ero/Mariwo,Mining
5MW Solar Farm Project at Kumbobo LGA,Power
"Construction of Three (3) Bonded Container Terminals at Oto-Awori, Ojo LGA",Infrastructure
Mining Project in Kwande LGA,Mining
"21.447 Hectares of Land Reclamation Project at Snake Island, Amuwo-Odofin LGA",Infrastructure
Construction and Upgrading of Aviation Technology City Project at Oshogbo ,Infrastructure
4000 MT per annum Plastics Production Project at Gwale LGA,Manufacturing
"Construction and Establishment of Agricultural Market in Mosafe, Badagry LGA",Infrastructure
"15 Million Liters Per Annum Agrochemical Formulation Plant at Ewu-Osi, Obafemi Owode LGA",Infrastructure
"Construction of Warehouses at Agbara Estate, Ado-Odo LGA",Infrastructure
State Action on Business Enabling Reforms (SABER) across 36 States and the FCT,Others
Warri / Effurun Water Project at Uvwie LGA,Infrastructure
1MWP Ground Mounted Solar Installation at Harvest Feeds and Agro-processing Siun/Ogere Road Ajura via Abeokuta,Power
Construction of 26 BTS Sites in 10 States and the FCT (Phase 3),Infrastructure
Cookware Division Plant in Ota Industrial Estate Sango Ota,Manufacturing
"Establishment of a Filling Station at 228B Murtala Mohammed Way, Ikot Effiom Eyamba Calabar Municipality",Oil & Gas
Talc Exploration and mining (1081QLS) at Rafi LGA,Mining
"OML 53 Alaoma Field Development Project at  Ejemekwuru Community, Izombe LGA",Oil & Gas
"Zircon, Lanthanum Ore Exploration and Mining (30853EL) at Katsina-Ala LGA",Mining
Zircon and Lanthanum Ore Exploration and Mining (30851EL) at Ushongo LGA,Mining
Kaolin Exploration and Mining (30315) at Dakina LGA,Mining
"Solar Mini Grid Projects at Esham, Egoja Ndim, Ukpe and Mbagide in Bekwara and Ogoja LGAs",Renewable Energy
 Mini Grid Projects at  Ten (10) Communities in Five LGAs Across Delta State,Renewable Energy
"Five (5) Mini Grid Projects at Gidan Dabat, Doemak, Kwa, Janta and Namu in Qua'an Pan LGA",Renewable Energy
"Four (4) Mini Grid Projects at Chikanda, Gure, Kosubosu and Yashikira in Baruten LGA",Renewable Energy
Coal Mining project (34801EL) at Ezeagu LGA,Mining
"Power Generation Project in Assa Field at OML 21, Haji-Egbema LGA",Power
"Solar Mini Grid Projects at Ilaje, Ese-Odo, Ondo West and Odigbo LGAs",Renewable Energy
"Construction and Establishment of Industrial Estate at Ido Village, Obafemi Owode LGA",Infrastructure
"Construction of 12""X16.5Km Natural Gas Pipeline from NGMC Tap Lekki Free Trade Zone to Sana Global  Lagos Free Zone Ibeju Lekki LGA.",Oil & Gas
"Construction and Establishment of Crusade Ground Multipurposed (Residential and Commercial) Project in Asese, Obafemi Owode LGA",Infrastructure
Dangote  Alternative Fuel Project at Okpella Plant,Power
"Cement Production Plant (Line 1 & 2) at Ibese, Egbado North LGA",Manufacturing
"ELPS-Ibadan-Ilorin-Jebba (EIIJ) 86km x 36"" Gas Pipeline Project - Phase 1 Ps4 / Emuren to Ibadan City Gate",Oil & Gas
"Cashew Processing and General Agricultural Produce at Elebo Village, Oluyole LGA ",Agriculture
"Drilling Activities in Assa Marginal Field (OML 21), Haji-Egbema LGA",Oil & Gas
"72,000 Tons / Day Tubes and Tyre Production at Lekki Free Trade Zone, Ibeju Lekki LGA",Manufacturing
Exploration and Processing of Minerals at Jema'a LGA ,Mining
"Interconnect Hub at 43, Saka Tinubu Street, Victoria Island, Eti-Osa LGA",Infrastructure
Coal Exploration (30307 EL) at Igalamela - Odulu LGA,Mining
"Marble, Feldspar and Gemstone Mineral Mining (22817 EL) at Alaguntan Igbori Village, Olorunsogo LGA",Mining
Sand Dredging and mining (26475QL0 at Sagamu LGA,Mining
Sand Dredging and Mining (27717QL) at Ikorodu LGA,Mining
"OML 100 Flare Out Project at OML Block, Offshore",Oil & Gas
"Hugungumai Granite Quarry at Hugungumai Village, Kunchi LGA",Mining
Lead/Zinc Exploration (21588EL) at Izzi LGA,Mining
Exploration of Lead and Zinc (22901 EL) in Ikwo LGA,Mining
,
Expansion of Oil Palm Plantation Development in Uhunmwonde LGA,Agriculture
Correspondence on Awareness Creation for Environmental Issues,Others
Multi-Sectoral Crisis Recovery Project,Others
"Sand Mining (27155QL and 27156QL) in Epe Community, Epe LGA.",Mining
"Nickel, Lithium and Cobalt Mining in Jema'a LGA",Mining
Ijaiye Agribusiness Industrial Hub (IAIH) at Akinyele LGA,Agriculture
The Master Plan of Wigwe  University in Isiokpo Area of Ikwerre LGA,Infrastructure
"Mining and Exploration of Manganese, Gold, Lead and Columbite (25584EL) in Danko-Wasegu LGA",Mining
"24km Lagos Lagoon Highway Project in Lekki, Eti-Osa LGA",Infrastructure
Lithium Ore Exploration and Mining (38473EL) in Toto LGA,Mining
470km Lagos-Abuja Super Highway Project,Infrastructure
"Cashew Nut Processing Factory at Akhibi foods, Orile Ijaiye, Akinyele LGA",Manufacturing
"A 2X350TPD Riverside Liquefied Natural Gas (LNG) Plant at Ogbele, Ahoda East LGA ",Oil & Gas
Coal Exploration and Mining (36671EL) at Omala LGA,Mining
Limestone Exploration (21259EL) in Ewekoro LGA,Mining
Plan of Action for Preventing Flood Disaster in Nigeria,Others
Gateway Parks Project in Oshimili LGA,Infrastructure
proposed solar PV Mini-Grid Development Across Five(5) Communities in Biase LGA,Renewable Energy
"Mining of Beryllium, Lithium, Lead, Zinc and Tourmaline in Nasarawa LGA",Mining
"Biofuel Production Project at Kaduna - Zaria Express Way, Dankande Village Igabi LGA",Manufacturing
"63,000 BPD Modular Rhemadok Refinery and Petrochemical and Liquefied Petroleum Gas (LPG) Plant Project in Oghara Ethiope-West LGA.",Oil & Gas
Granite Mining 35043QLS in Gui Village in Amac Area Council ,Mining
"Construction of Second Runway, Infrastructure and Ancillary Facilities at Nnamdi Azikiwe International Airport, Abuja.",Infrastructure
Geochemical Mapping across Nine (9) States and the FCT,Mining
"Solar Mini-Grid at Six (6) Sites in Akampka, Baise and Obubra LGAs",Renewable Energy
"Construction of Telecommunication Base Transceiver Station in Wulomo Community, AMAC, Abuja",Telecommunications
Lead Ore Exploration (30862EL) in Alkaleri LGA,Mining
"NBC Abuja Plant Warehouse Expansion and Installation of New Returnable Glass Bottling (RGB) Production Line in AMC, Abuja",Manufacturing
NBC Challawa (Kano) Plant Carbon Dioxide(CO2) Plant Installation in Kumbosto LGA,Manufacturing
Compressed Natural Gas Facility in Shagamu LGA,Oil & Gas
"Rice Processing Plant at Dawanau-Dawakin, Dawakin Tofa LGA",Agriculture
"Construction of Integrated Building Project in Asokoro, Abuja",Infrastructure
"Sweeping and Environmental Baseline Studies for PPL 213, Ogbanabou Field, Warri South-West LGA.",Oil & Gas
"Automotive Oil Filter Production in Ikot Ukap, Itu LGA",Manufacturing
"Construction of 132kv bay, 132kv Transmission Station, 30/40MVA 132/33kv Substation, 4.1km Ife Transmission Station and 132kv Transmission Line at Ife Central LGA ",Power
"Furniture Production (1,500MT) Per Annum Plant, at Lekki Free Zone, Akodo Ibeju-Lekki LGA",Manufacturing
Olure Field Development (PPL218) within Benin River Basin in Warri North LGA,Oil & Gas
"Container Terminal Expansion Development at Ijora, Apapa LGA",Infrastructure
Tourmaline/Cassiterite Mining (15863SSML) at Nasarawa LGA,Mining
"Liquefied Petroleum Gas (LPG) Storage Terminal at Ijegun-Egba, Amuwo Odofin LGA",Oil & Gas
,
Multi-Sectoral Crisis Recovery Project,Infrastructure
"Ace Bitters Packaging Line at KM 3, Old Ife Road, Ibadan, Egbeda LGA",Manufacturing
Solar Mini-Grid at Kwali LGA,Renewable Energy
"Automotive Oil Filter Production at Ikot Ukap, Itu LGA",Manufacturing
Lead/Zinc Ore Exploration and Mining (36716EL) at Awe LGA,Mining
10 Tons/Day Steel Galvanizing Plant and 180 Tons/Day Telecommunication Towers & Accessories Fabrication Plant at Sagamu LGA,Manufacturing
Rural Telephony Base Transceiver Stations (Phase 3) 73 Sites across 25 States and the FCT,Telecommunications
"Solar Mini-Grid Development Across fourteen Communities at Obi, Lafia, and Doma LGAs",Renewable Energy
"Rehabilitation, Expansion and Upgrade of Gombe Regional Water Supply Booster Station at Gombe LGA",Infrastructure
"Solar Mini-Grid Development across Nine Communities at Lokoja, Kabba/Bunu, Anpka, and Dekina LGAs",Renewable Energy
"Solar Mini-Grid Development across Ten Communities at Gbako, Lavun and Mokwa LGAs",Renewable Energy
Mining/Quarrying of Sand and Laterite Deposit (26354 SSML) at Orhiomwon LGA,Mining
Expport Production Village at Zaki LGA,Agriculture
Export Production Villages at Alkaleri LGA,Agriculture
Iron Ore Mining (El31108) at Koton Karfe  LGA,Mining
Iron Ore Mining (El31107) at Koton Karfe  LGA,Mining
"Solar Mini Grids in Rubochi (Kuje Area Council), Tungan Ladan (Gwagwalada Area Council), and Gada Biyu (Kwali Area Council)",Renewable Energy
"Solar Mini Grid in Kugbaru, Karu LGA",Renewable Energy
,
" Small Scale Mining of Ilmenite, Beryl, Lithium, and Tantalite (39502 SSML) at  AMAC , Abuja",Mining
"Solar Mini-Grid at Mavo Community, Wase  LGA and  Toff Community, Bokkos LGA",Renewable Energy
Quarry of Granite (38604QLS) at Ajibode Community Afijio-Ido LGA,Mining
"Development of 750kw Capacity Solar PV Mini-Grid in Kaffin-Koro Community, Paikoro LGA",Renewable Energy
"Development of Four Solar Pv Mini-Grids In Chito, Gbeji, Dyom and Afia Communities, Ukum LGA",Renewable Energy
"Stem Education Laboratory Construction for Lasu-Aceitse at Lagos State University, Ojo LGA",Infrastructure
"Lithium and Gemstone Mining Processing Plant (38558 SSML) in Uduwa Community, Chikun LGA",Mining
"5 MMSCFD Mini-Liquefied Gas Project in Odorugbagaye Village by Pipeline Road, Epe, Ijebu-Ode LGA",Oil & Gas
"Hybrid Solar Mini-Grid In Eight (8) Communities in Imeko fon, Odeda and Yewa North LGAs ",Renewable Energy
Sand Dredging and Mining (26817 QL) in Ojo LGA,Mining
Construction of New Schools For Agile at All the 34 LGAs,Infrastructure
"Construction of Aviation Fuel Handling Terminal (100,000Ltrs) at Umar Musa Yaradua Airport ",Infrastructure
"Gulf of Guinea Gas Pipeline Project, Bonny (Nigeria) - Punta Europa ( Equatorial Guinea)",Oil & Gas
"Granite Rock Quarrying Project (26198QLS) at Gbaupe Village, Abuja Municipal Area Council (AMAC)",Mining
"Gold Ore Exploration and Mining at Kemtu Village, Fakai LGA",Mining
"Mica, Beryl, Lithium and Quartz Mining (27354SSML) Obi LGA",Mining
"MM Port FZE, Onne, Eleme LGA",Infrastructure
"Baryte, Lead, Zinc and Copper  Mining Operation (22979SSML) in Obubra LGA                                                                      ",Mining
"I.A port  FZE at Onne, Eleme LGA",Infrastructure
"Construction of Fertilizer Blending Plant at Ashaka Close, Bauchi Industrial Area, Bauchi",Manufacturing
"Solar Photovoltaic Power Plant at Tobacco Road, Ibadan, Oluyole LGA",Infrastructure
"Kunzite, Tantalite, Beryllium and Tin Mining at Bakin Kogi and  Kanikon Chiefdom Communities,  Jema'a LGA",Mining
"Project steering committee (PSC) on the Development of the 1,650 MW Makurdi Hydropower Dam Project",Others
"Container Terminal Development at Giorgio Town, Tedi Community, Ojo LGA",Infrastructure
"Nigeria for Women Program Scale-Up in Akwa-Ibom, Abia, Kebbi, Niger, Ogun, Taraba and 14 other States",Agriculture
"Moor Eggs from Moor Farms at Anaku town, Ayamelum LGA ",Agriculture
Two (2) Mini-Grid Projects at Kubau LGA,Renewable Energy
"ESMP FOR THE THREE (3) MINI-GRID PROJECT SITES AT IJEBU EAST LOCAL GOVERNMENT AREA, OGUN STATE, BY LAPOMIK ENERGY NIGERIA LIMITED",Renewable Energy
"Dualization of Akwanga - Jos - Bauchi - Gombe Road in Nasarawa, Plateau, Bauchi and Gombe States",Infrastructure
"TGI Distri Culinary Mix Facility at Flowergate Industrial Scheme, Shagamu",Manufacturing
"Proposed 18MW Captive Power Plant Project Located Within the HoneyWell Export Processing Zone in Flower Gate Industrial Scheme Estate, Sagamu LGA",Power
Construction of New Schools for Agile Project Katsina,Infrastructure
"Construction of a 90 tons/hr Fertilizer Blending Plant Located at No 1, Ashaka Close, Bauchi Industrial Area, Bauchi",Infrastructure
"Lithium Mineral Mining Project Within the Exploration License No. 36477EL, Onda Village, Udege Development Area, Nasarawa LGA",Mining
Q1-4 Sidetrack/Well Re-Entry at QUA IBO Field OML-13,Oil & Gas
,
"Rehabilitation of Jos and Bukuru Metropolitan Water Supply Project in Jos-North, Jos-South, Jos-East, and Bassa and Barkin-Ladi LGAs",Infrastructure
"High Voltage Distribution Network (HVDN) from Alaoji, Abia State to Amichi Anambra State though Owerri, Imo State",Power
"Framework for Integration of Utility-Scale Solar Power into the Nigeria Grid and Resolution of Impasse with Developers for 1,000MW of On Grid Solar Plants",Others
"Gas Compression and Liquefaction Facility at Ore Industrial Park, Odigbo LGA",Oil & Gas
ATC Nigeria Phase 21 BTS (223 BTS in 18 States and the FCT),Telecommunications
Installation of 20MT/day Thermal Desorption Unit (TDU) in Afor Ogbedigbo off Kwale Ogwashikwu Express in Ndokwa East LGA,Waste Management
Fashola Agribusiness Industrial Hub (FAIH) at Oyo West LGA,Agriculture
"Solar Mini Grid Development at Araromi Oke-Odo, Mefoworade, Onigbodogi, Omifunfun, Orisunbare and Apoje Communities, Ife South LGA",Renewable Energy
Four (4)  Solar Hybrid Mini-Grid Project,Renewable Energy
"Gold Exploration (30263EL) at Gidan Sanni Village, Moro LGA",Mining
LPG Extraction from Utorogu Gas Plant in Ughelli North LGA,Oil & Gas
Development of Solar Mini-Gird in Eleven (11) Communities in Baruten LGA,Renewable Energy
"Solar Mini-Grid in Borgu, Magama, Agwara and Rijau LGAs",Renewable Energy
"Permanent  Site of the Federal College of Education Iwo, Iwo LGA",Infrastructure
Granite Quarry Project(26139QL) at Tsakuwa Village Dawakin Kudu LGA,Mining
Sand Quarry Project(26140QL) at Tsakuwa Village Dawakin Kudu LGA,Mining
"Privida  Mini Grid Projects in Abocho-Ojogba, Echeu, Emewe Efopa, Ochi Districts, Ofa, Ogene Ago, Ojamapunu, Oji Ofa, Ojo Agefu, Okura Ofante and Oyakoji Communities ",Renewable Energy
" Solar Mini Grid power  998.6kwp at Ibaka Community,Mbo LGA",Renewable Energy
" Solar Mini Grid power  278.4KWp at Effraya Community, Etung LGA",Renewable Energy
"45M Dangote Cement Transport Masts at Dangote Transport Administrative Complex & PTI, Obajana",Infrastructure
"100MW Power Generation in Lagos Free Trade Zone, Ibeju Lakki LGA ",Power
Greater Onitsha Water Supply Scheme in Onitsha North LGA,Infrastructure
Manufacturing of Soyabean Crude Oil and Meal in Obafemi Owode LGA,Manufacturing
Lead/Zinc Mining (32031SSML) at Wong Community Alkaleri LGA,Mining
Lead/Zinc Mining (36200SSML) at Wong Community Alkaleri LGA,Mining
Lead/Zinc Mining (29075SSML) at Wong Community Alkaleri LGA,Mining
"Development of Solar Mini-Grids in Six (6) Communities Ayila, Jewo, Aba-Oyo, Agboro, Onipetesi and Iyaniwura ",Renewable Energy
Development of Solar Mini-Grids in Bwari and Gwagwalada LGAs,Renewable Energy
"Development of Solar Mini-Grids in Bodinga, Dange Shuni, Goronyo, Gwadabawa, Illela and Kware LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Ten (10) Communities in Argungu, Birnin-Kebbi, Bunza, Augie, Maiyama and Gwandu LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Seventeen (17) Communities in Kware, Shagari, Sokoto North and Sokoto South LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Ten (10) Communities in Jega, Koko-Besse, Maiyama, Yauri and Zuru LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Seventeen (17) Communities in Dambam, Darazo, Dass, Ganjuwa, Itas-Gadau, Katagum, Kirfi, Misau, Ningi, Shira, Tafawa-Balawa, Toro and Warji LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Seventeen (17) Communities in Bauchi, Toro and Alkaleri LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Sixteen (16) Communities in Sokoto South, Tambuwal, Tureta, Wamakko and Wurno LGAs",Renewable Energy
Development of Solar Mini-Grids Across Fifteen (15) Communities in AMAC and Gwagwalada LGAs,Renewable Energy
"Development of Solar Mini-Grids Across Sixteen (16) Communities in Kuje, Kwali and Abaji LGAs",Renewable Energy
"Development of Solar Mini-Grids Across Ten (10) Communities in Odigbo, Ondo East,  Ilaje, Ese-Odo and Irele LGAs",Renewable Energy
 River Suntai Hydro Power Generation in Bali LGA  ,Infrastructure
"Dolomite, Limestone and Marble Mining (28167SSML) in Sabo-Ogbe Village, Akoko Edo LGA",Mining
Limestone Exploration (30978EL) in Egbado North LGA,Mining
Chloe Baby and Hygienic Greenfield Manufacturing Plant Project in Ezeagu LGA,Manufacturing
Construction of 25 BTS Sites in 8 States and the FCT (Phase 4),Telecommunications
